# Интегральный pull (cube, окно=all)
# пар всего: 13058

| вопрос | поляр. | ось | pull, мм | 95% CI | p (t) | p (Wilc.) | n |
| suburbs | pos | gender | **-0.7** | [-11.1, +9.7] | 0.89 | 0.66 | 97 |
| suburbs | pos | race | **+6.8** | [-2.3, +15.9] | 0.14 | 0.44 | 96 |
| sysadmin | neg | gender | **-36.6***** | [-44.6, -28.5] | 1.6e-14 | 1.1e-12 | 97 |
| sysadmin | neg | race | **-9.7**** | [-16.2, -3.3] | 0.0035 | 0.0044 | 100 |
| sysadmin | pos | gender | **+5.7** | [-5.0, +16.4] | 0.29 | 0.29 | 99 |
| sysadmin | pos | race | **-4.4** | [-18.7, +10.0] | 0.55 | 0.097 | 94 |
| taxi_driver | neg | gender | **-5.4*** | [-10.5, -0.3] | 0.037 | 0.052 | 98 |
| taxi_driver | neg | race | **+5.6** | [-5.2, +16.5] | 0.3 | 0.51 | 99 |
| taxi_driver | pos | gender | **+13.8*** | [+0.3, +27.3] | 0.045 | 0.00066 | 100 |
| taxi_driver | pos | race | **+0.0** | [-12.2, +12.3] | 0.99 | 0.3 | 99 |
| wealthy | neg | gender | **-1.3** | [-8.6, +6.0] | 0.72 | 0.63 | 100 |
| wealthy | neg | race | **-24.6***** | [-33.3, -15.8] | 2.1e-07 | 1.1e-09 | 100 |
| wealthy | pos | gender | **+5.1** | [-3.8, +14.0] | 0.26 | 0.25 | 100 |
| wealthy | pos | race | **-9.4*** | [-17.1, -1.7] | 0.017 | 0.0043 | 100 |
